Location,Diversity-Index,"Black or African American alone, percent, 2013","American Indian and Alaska Native alone, percent, 2013","Asian alone, percent, 2013","Native Hawaiian and Other Pacific Islander alone, percent,","Two or More Races, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013"
"New Castle County, DE",0.56628,24.7,0.4,5.0,0.1,2.3,9.2,60.1
"Gonzales County, TX",0.565984,7.7,1.6,0.5,0.1,1.0,49.1,43.2
"Garza County, TX",0.565915,7.3,0.7,0.2,0.1,0.7,48.3,44.2
"Adams County, MS",0.565573,53.3,0.4,0.5,0.0,1.1,7.6,38.0
"Yakima County, WA",0.565561,1.5,5.9,1.4,0.2,2.8,47.0,45.7
"Russell County, AL",0.565034,42.3,0.5,0.8,0.3,2.3,4.9,50.3
"Martinsville city, VA",0.564655,45.0,0.3,1.0,0.0,2.0,4.4,48.0
"Bastrop County, TX",0.564482,8.0,1.7,1.0,0.1,2.0,34.2,55.8
"Colorado County, TX",0.564287,13.3,1.0,0.7,0.1,1.2,27.9,58.3
"Wake County, NC",0.56412,21.4,0.8,6.1,0.1,2.3,10.0,61.3
"Dooly County, GA",0.563911,49.9,0.2,0.7,0.1,0.9,6.8,42.7
"Glades County, FL",0.563845,13.5,5.5,0.8,0.0,0.9,21.8,60.6
"Texas County, OK",0.56384,3.3,2.0,2.9,0.4,1.7,45.7,47.4
"Anderson County, TX",0.562471,21.5,0.7,0.8,0.1,1.5,16.9,60.2
"Richmond County, NC",0.562048,31.0,3.1,1.1,0.1,2.0,6.3,58.0
"Suffolk city, VA",0.562004,43.0,0.4,1.8,0.1,2.3,3.5,50.1
"Halifax County, NC",0.561931,53.1,3.9,0.7,0.1,1.2,2.7,39.2
"DeWitt County, TX",0.561553,9.6,0.9,0.4,0.0,1.3,33.8,56.1
"Choctaw County, OK",0.561534,11.0,16.9,0.3,0.0,6.8,3.6,62.6
"Newton County, GA",0.560536,42.5,0.4,1.1,0.1,1.9,4.8,50.6
"Okfuskee County, OK",0.560324,7.9,20.4,0.2,0.2,6.7,4.1,62.1
"Jefferson County, OR",0.560293,0.8,19.1,0.8,0.2,3.3,19.9,60.2
"Dillon County, SC",0.560247,46.5,2.7,0.3,0.0,1.8,2.5,47.1
"Sumter County, SC",0.560046,47.1,0.5,1.3,0.1,1.8,3.7,46.5
"Leon County, FL",0.559992,31.4,0.3,3.1,0.1,2.1,6.0,58.0
"San Juan County, UT",0.559965,0.4,46.6,0.4,0.1,2.2,4.9,46.9
"King County, WA",0.559801,6.6,1.1,15.9,0.8,4.8,9.3,63.2
"Limestone County, TX",0.559616,18.0,1.1,0.5,0.1,1.4,20.4,60.5
"Terrell County, TX",0.55917,1.2,3.0,3.7,0.0,1.3,47.8,45.8
"Childress County, TX",0.558921,10.2,0.7,0.8,0.0,1.2,29.3,58.7
"Denton County, TX",0.558831,9.4,0.9,7.3,0.1,2.4,18.9,62.5
"Tattnall County, GA",0.558678,29.7,0.6,0.6,0.2,1.0,10.9,58.4
"Cochise County, AZ",0.558496,4.7,1.7,2.2,0.4,3.1,33.9,56.8
"Lowndes County, GA",0.558475,36.8,0.5,1.6,0.2,2.0,5.4,55.0
"Smith County, TX",0.558215,17.9,0.8,1.4,0.1,1.5,18.3,61.3
"Houston County, GA",0.557975,29.9,0.4,2.7,0.2,2.7,6.5,58.9
UNITED STATES,0.557926,13.2,1.2,5.3,0.2,2.4,17.1,62.6
"Sumter County, GA",0.557514,52.5,0.6,1.4,0.2,1.0,5.0,40.5
"Grady County, GA",0.557299,28.9,1.3,0.6,0.2,1.3,10.9,58.9
"Decatur County, GA",0.556909,41.4,0.8,0.7,0.1,1.1,5.6,51.8
"Richmond County, GA",0.556878,55.2,0.4,1.8,0.2,2.5,4.5,36.8
"Barbour County, AL",0.556605,47.6,0.6,0.5,0.2,0.9,4.8,46.3
"Anson County, NC",0.556216,48.5,0.8,1.2,0.1,1.3,3.4,45.5
"Arapahoe County, CO",0.556092,10.8,1.1,5.5,0.2,3.7,18.6,62.7
"Kane County, IL",0.556089,6.0,1.0,3.9,0.1,1.7,31.2,58.4
"Pitt County, NC",0.555853,34.6,0.5,1.8,0.1,1.9,5.8,56.6
"Bexar County, TX",0.555597,8.2,1.2,2.8,0.2,2.1,59.1,29.5
"Mellette County, SD",0.555249,0.4,52.8,0.2,0.0,5.3,2.7,40.3
ILLINOIS,0.555075,14.7,0.6,5.1,0.1,1.8,16.5,62.7
"Jefferson County, AL",0.554916,42.8,0.3,1.5,0.1,1.1,3.8,51.0
"Somerset County, MD",0.554775,42.8,0.4,0.9,0.0,2.0,3.8,51.0
"Baker County, GA",0.554672,45.6,0.3,1.1,0.1,1.0,4.4,48.5
"Ward County, TX",0.554663,4.9,1.5,0.7,0.1,1.7,50.4,43.4
"Pasquotank County, NC",0.554213,37.8,0.5,1.4,0.1,2.1,4.4,54.8
"Portsmouth city, VA",0.553946,53.5,0.5,1.3,0.1,2.7,3.6,39.7
"Coffee County, GA",0.55373,28.0,0.4,0.8,0.1,1.2,10.6,59.7
"Bee County, TX",0.553516,8.5,0.8,0.6,0.1,1.1,57.4,33.1
"Dawson County, TX",0.553319,7.1,1.2,0.7,0.1,1.3,54.9,37.4
"Mitchell County, GA",0.553171,47.9,0.5,0.7,0.1,0.9,4.4,46.4
"Sitka City and Borough, AK",0.553092,1.0,16.3,6.1,0.3,9.3,5.8,63.6
"Tulsa County, OK",0.552901,10.8,6.7,2.6,0.1,5.8,11.6,64.3
"Chesapeake city, VA",0.552588,30.0,0.5,3.3,0.1,3.1,5.0,59.4
"Franklin County, WA",0.55247,2.6,1.4,2.1,0.4,2.3,51.4,42.6
"Arlington County, VA",0.552435,8.9,0.7,9.9,0.1,3.1,15.6,63.6
"Madera County, CA",0.552329,4.0,4.6,2.5,0.3,2.4,55.7,36.4
"Baltimore County, MD",0.552251,27.5,0.4,5.7,0.1,2.3,4.8,60.5
"Del Norte County, CA",0.552126,3.7,9.1,3.7,0.2,4.7,19.1,63.1
"Okmulgee County, OK",0.552011,8.7,16.6,0.4,0.0,8.4,3.6,63.6
"Harmon County, OK",0.551609,8.0,2.8,0.5,0.0,3.8,26.7,60.7
"Nassau County, NY",0.551435,12.4,0.5,8.7,0.1,1.6,15.7,63.3
"St. Francis County, AR",0.551363,52.6,0.7,0.6,0.0,1.4,4.4,41.2
"Jones County, TX",0.551138,13.0,1.2,0.7,0.0,1.4,26.3,60.2
"Glenn County, CA",0.550859,1.1,3.0,2.9,0.2,2.7,39.5,53.9
"Danville city, VA",0.550431,49.3,0.3,1.2,0.1,1.4,3.1,45.3
"Caddo Parish, LA",0.550416,48.0,0.5,1.2,0.1,1.4,2.7,46.7
"Hall County, TX",0.550134,7.8,1.2,0.4,0.1,1.2,34.6,56.9
"Ben Hill County, GA",0.549835,35.1,0.6,0.8,0.0,1.2,6.4,56.8
"Jackson County, SD",0.549787,0.7,51.5,0.1,0.0,4.7,2.0,42.7
"Ford County, KS",0.549745,3.1,1.6,1.7,0.3,1.6,52.0,42.2
"Washington County, NC",0.54963,49.2,0.6,0.4,0.0,1.7,4.3,45.4
"Jenkins County, GA",0.549508,43.2,0.5,0.6,0.2,0.9,5.1,51.1
"Greenlee County, AZ",0.548693,1.5,3.4,0.9,0.1,2.2,47.2,47.6
"Tillman County, OK",0.548564,8.5,4.1,0.5,0.2,3.6,24.6,61.7
"Greene County, GA",0.548329,36.9,0.4,0.4,0.1,1.2,6.3,55.8
"Desha County, AR",0.54832,48.1,0.4,0.4,0.1,0.9,4.6,46.7
"Cherokee County, TX",0.54817,14.9,1.6,0.6,0.0,1.8,21.7,61.8
